caseID,taskID,originator,eventtype,timestamp,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK
1,FirstContact,Dian,complete,1970-01-02 08:08,Phone,,,,,,
1,MakeTicket,Dian,start,1970-01-02 08:08,,,,,,,
1,MakeTicket,Dian,complete,1970-01-02 08:11,,E,1340,,,,
1,ArrangeSurvey,Dian,start,1970-01-02 08:11,,,,,,,
1,ArrangeSurvey,Dian,complete,1970-01-02 08:16,,,,,,,
1,InformClientSurvey,System,complete,1970-01-02 08:16,,,,,,,
1,Survey,Cindy,start,1970-01-11 21:33,,,,,,,
1,Survey,Cindy,complete,1970-01-11 21:56,,,,TRUE,240,1,
1,InternRepair,John,start,1970-01-17 04:36,,,,,,,
1,InternRepair,John,complete,1970-01-17 08:12,,,,,,,
1,RepairReady,System,complete,1970-01-17 08:12,,,,,,,TRUE
1,SendTicketToFinAdmin,System,complete,1970-01-17 14:03,,,,,,,
1,ReadyInformClient,System,complete,1970-01-17 15:44,,,,,,,TRUE
1,TicketReady,System,complete,1970-01-17 15:44,,,,,,,
2,FirstContact,Dian,complete,1970-01-08 05:17,Personal,,,,,,
2,MakeTicket,Dian,start,1970-01-08 05:17,,,,,,,
2,MakeTicket,Dian,complete,1970-01-08 05:21,,P,8161,,,,
2,ArrangeSurvey,Dian,start,1970-01-08 05:21,,,,,,,
2,ArrangeSurvey,Dian,complete,1970-01-08 05:25,,,,,,,
2,InformClientSurvey,System,complete,1970-01-08 05:25,,,,,,,
2,Survey,Anne,start,1970-01-12 04:19,,,,,,,
2,Survey,Anne,complete,1970-01-12 04:57,,,,TRUE,120,1,
2,ImmediateRepair,Anne,start,1970-01-12 04:57,,,,,,,
2,ImmediateRepair,Anne,complete,1970-01-12 06:57,,,,,,,
2,ExternRepair,DoIt,start,1970-01-12 06:57,,,,,,,
2,RepairReady,System,complete,1970-01-12 08:57,,,,,,,TRUE
2,ReadyInformClient,System,complete,1970-01-12 11:17,,,,,,,TRUE
2,SendTicketToFinAdmin,System,complete,1970-01-12 15:14,,,,,,,
2,TicketReady,System,complete,1970-01-12 15:14,,,,,,,
3,FirstContact,Dian,complete,1970-01-03 01:03,Phone,,,,,,
3,MakeTicket,Dian,start,1970-01-03 01:03,,,,,,,
3,MakeTicket,Dian,complete,1970-01-03 01:10,,E,3844,,,,
3,ArrangeSurvey,Dian,start,1970-01-03 01:10,,,,,,,
3,ArrangeSurvey,Dian,complete,1970-01-03 01:14,,,,,,,
3,InformClientSurvey,System,complete,1970-01-03 01:14,,,,,,,
3,Survey,Paul,start,1970-01-06 06:31,,,,,,,
3,Survey,Paul,complete,1970-01-06 06:47,,,,TRUE,220,2,
3,InternRepair,Paul,start,1970-01-06 19:50,,,,,,,
3,InternRepair,Paul,complete,1970-01-06 23:30,,,,,,,
